APM384H1F,LEC 0101,9/4/2014,1,Fri,16,18,MC252, , ,  ,,
APM384H1F, ,9/4/2014,1,Mon,15,16,GB120, , ,  ,,
APM384H1F,TUT 0101,9/4/2014,1,Fri,15,16,GB412, , ,  ,,
APM384H1F,TUT 0102,9/4/2014,1,Thu,16,17,WB130, , ,  ,,
APM446H1F,LEC 5101,9/4/2014,1,Fri,15,18, , , ,  ,,
APS105H1F,LEC 0101,9/4/2014,1,Mon,17,18,GB221, ,"Rose, Jonathan",  ,,
APS105H1F, ,9/4/2014,1,Wed,17,18,GB221, ,"Rose, Jonathan",  ,,
APS105H1F, ,9/4/2014,1,Thu,17,18,GB221, ,"Rose, Jonathan",  ,,
APS105H1F,LEC 0102,9/4/2014,1,Fri,10,11,RS211, ,"Wang, Belinda",  ,,
APS105H1F, ,9/4/2014,1,Tue,10,11,RS211, ,"Wang, Belinda",  ,,
APS105H1F, ,9/4/2014,1,Wed,10,11,RS211, ,"Wang, Belinda",  ,,
APS105H1F,LEC 0103,9/4/2014,1,Mon,17,18,GB303, ,"Li, Baochun",  ,,
APS105H1F, ,9/4/2014,1,Wed,17,18,GB303, ,"Li, Baochun",  ,,
APS105H1F, ,9/4/2014,1,Thu,17,18,GB303, ,"Li, Baochun",  ,,
APS105H1F,LEC 0104,9/4/2014,1,Mon,17,18,GB220, ,"Shokrollah-Timorabadi, Hamid",  ,,
APS105H1F, ,9/4/2014,1,Wed,17,18,GB220, ,"Shokrollah-Timorabadi, Hamid",  ,,
APS105H1F, ,9/4/2014,1,Thu,17,18,GB220, ,"Shokrollah-Timorabadi, Hamid",  ,,
APS105H1F,LEC 0105,9/4/2014,1,Thu,14,15,GB303, ,"Rose, Jonathan",  ,,
APS105H1F, ,9/4/2014,1,Fri,14,15,GB303, ,"Rose, Jonathan",  ,,
APS105H1F, ,9/4/2014,1,Tue,14,15,GB303, ,"Rose, Jonathan",  ,,
APS105H1F,PRA 0101,9/4/2014,1,Mon,16,17,MS2158, , ,  ,,
APS105H1F, ,9/4/2014,1,Fri,13,15,SF1013, , ,  ,,
APS105H1F,PRA 0102,9/4/2014,1,Mon,16,17,MS2158, , ,  ,,
APS105H1F, ,9/4/2014,1,Wed,12,14,SF1013, , ,  ,,
APS105H1F,PRA 0103,9/4/2014,1,Mon,16,17,MS2158, , ,  ,,
APS105H1F, ,9/4/2014,1,Fri,11,12,SF1013, , ,  ,,
APS105H1F,PRA 0104,9/4/2014,1,Mon,16,17,MS2158, , ,  ,,
APS105H1F, ,9/4/2014,1,Thu,12,14,SF1013, , ,  ,,
APS105H1F, ,9/4/2014,1,Thu,12,14,SF1012, , ,  ,,
APS105H1F,TUT 0101,9/4/2014,1,Mon,9,10,HA410, , ,  ,,
APS105H1F,TUT 0102,9/4/2014,1,Tue,10,11,BA2145, , ,  ,,
APS105H1F,TUT 0103,9/4/2014,1,Mon,9,10,BA2145, , ,  ,,
APS105H1F,TUT 0104,9/4/2014,1,Wed,14,15,BA2155, , ,  ,,
APS105H1F,TUT 0105,9/4/2014,1,Mon,12,13,BA2155, , ,  ,,
APS105H1F,TUT 0106,9/4/2014,1,Mon,10,11,BA2145, , ,  ,,
APS105H1F,TUT 0107,9/4/2014,1,Fri,13,14,WB119, , ,  ,,
APS105H1F,TUT 0108,9/4/2014,1,Mon,11,12,BA2145, , ,  ,,
APS105H1F,TUT 0109,9/4/2014,1,Wed,9,10,BA1240, , ,  ,,
APS105H1F,TUT 0110,9/4/2014,1,Mon,16,17,BA2165, , ,  ,,
APS111H1F,LEC 0101,9/4/2014,1,Thu,9,10,CH---, , ,  ,,
APS111H1F, ,9/4/2014,1,Fri,9,10,CH---, , ,  ,,
APS111H1F, ,9/4/2014,1,Tue,9,10,CH---, , ,  ,,
APS111H1F,TUT 0101,9/4/2014,1,Mon,12,14,BA2159, , ,  ,,
APS111H1F,TUT 0102,9/4/2014,1,Mon,12,14,BA3008, , ,  ,,
APS111H1F,TUT 0103,9/4/2014,1,Mon,12,14,BA3116, , ,  ,,
APS111H1F,TUT 0104,9/4/2014,1,Mon,12,14,BA2165, , ,  ,,
APS111H1F,TUT 0105,9/4/2014,1,Mon,12,14,BA2175, , ,  ,,
APS111H1F,TUT 0106,9/4/2014,1,Mon,12,14,BA2185, , ,  ,,
APS111H1F,TUT 0107,9/4/2014,1,Mon,12,14,WB242, , ,  ,,
APS111H1F,TUT 0108,9/4/2014,1,Mon,12,14,GB204, , ,  ,,
APS111H1F,TUT 0109,9/4/2014,1,Mon,12,14,BA2195, , ,  ,,
APS111H1F,TUT 0110,9/4/2014,1,Mon,12,14,BA2139, , ,  ,,
APS111H1F,TUT 0111,9/4/2014,1,Wed,12,14,BA2139, , ,  ,,
APS111H1F,TUT 0112,9/4/2014,1,Wed,12,14,BA2159, , ,  ,,
APS111H1F,TUT 0113,9/4/2014,1,Wed,12,14,BA3008, , ,  ,,
APS111H1F,TUT 0114,9/4/2014,1,Wed,12,14,WB242, , ,  ,,
APS111H1F,TUT 0115,9/4/2014,1,Wed,12,14,WB242, , ,  ,,
APS111H1F,TUT 0116,9/4/2014,1,Wed,12,14,GB204, , ,  ,,
APS111H1F,TUT 0117,9/4/2014,1,Wed,12,14,BA3116, , ,  ,,
APS111H1F,TUT 0118,9/4/2014,1,Wed,12,14,BA2165, , ,  ,,
APS111H1F,TUT 0119,9/4/2014,1,Wed,12,14,BA2175, , ,  ,,
APS111H1F,TUT 0120,9/4/2014,1,Wed,12,14,BA2185, , ,  ,,
APS111H1F,TUT 0121,9/4/2014,1,Thu,12,14,BA2159, , ,  ,,
APS111H1F,TUT 0122,9/4/2014,1,Thu,12,14,BA3008, , ,  ,,
APS111H1F,TUT 0123,9/4/2014,1,Thu,12,14,BA3116, , ,  ,,
APS111H1F,TUT 0124,9/4/2014,1,Thu,12,14,BA2165, , ,  ,,
APS111H1F,TUT 0125,9/4/2014,1,Thu,12,14,GB204, , ,  ,,
APS111H1F,TUT 0126,9/4/2014,1,Thu,12,14,BA2175, , ,  ,,
APS111H1F,TUT 0127,9/4/2014,1,Thu,12,14,BA2185, , ,  ,,
APS111H1F,TUT 0128,9/4/2014,1,Thu,12,14,BA2195, , ,  ,,
APS111H1F,TUT 0129,9/4/2014,1,Thu,12,14,BA2145, , ,  ,,
APS111H1F,TUT 0130,9/4/2014,1,Thu,12,14,BA2139, , ,  ,,
APS150H1F,TUT 0101,9/4/2014,1,Tue,18,19,BA1160, , ,  ,,
APS234H1F,LEC 0101,9/4/2014,1,Wed,18,20,GB248, ,"Paradi, Joseph",  ,,
APS234H1F, ,9/4/2014,1,Thu,18,20,GB248, ,"Paradi, Joseph",  ,,
APS234H1F,TUT 0101,9/4/2014,1,Wed,20,21,GB248, , ,  ,,
APS301H1F,LEC 0101,9/4/2014,1,Tue,11,14,SF1105, ,"Vanderburg, Willem",  ,,
APS301H1F,TUT 0101,9/4/2014,1,Wed,18,19,SF1105, , ,  ,,
APS320H1F,LEC 0101,9/4/2014,1,Tue,18,20,BA2179, ,"Tihanyi, Deborah",  ,,
APS320H1F, ,9/4/2014,1,Tue,18,20,BA2179, ,"Wilkinson, Lydia",  ,,
APS320H1F,TUT 0101,9/4/2014,1,Mon,18,20,BAB026, , ,  ,,
APS320H1F, ,9/4/2014,1,Mon,18,20,BAB025, , ,  ,,
APS321H1F,LEC 0101,9/4/2014,1,Mon,13,15,BA2135, ,"Chong, Alan",  ,,
APS321H1F,TUT 0101,9/4/2014,1,Mon,9,11,BA2135, , ,  ,,
APS325H1F,LEC 0101,9/4/2014,1,Mon,14,15,WB144, ,"Tallman, Kenneth",  ,,
APS325H1F, ,9/4/2014,1,Wed,14,15,WB144, ,"Tallman, Kenneth",  ,,
APS325H1F,TUT 0101,9/4/2014,1,Mon,15,16,WB144, , ,  ,,
APS325H1F, ,9/4/2014,1,Wed,15,16,WB144, , ,  ,,
APS343H1F,LEC 0101,9/4/2014,1,Mon,18,20,BA1230, ,"Reeve, Douglas",  ,,
APS343H1F,TUT 0101,9/4/2014,1,Wed,18,20,WB342, , ,  ,,
APS444H1F,LEC 0101,9/4/2014,1,Tue,12,15,SF2202, ,"Sacks, Robin",  ,,
APS445H1F,LEC 0101,9/4/2014,1,Mon,9,11,BA2155, ,"Simpson, Annie",  ,,
APS445H1F, ,9/4/2014,1,Mon,9,11,BA2155, ,"Kinnear, Penny",  ,,
APS445H1F,TUT 0101,9/4/2014,1,Mon,11,12,BA2155, ,"Kinnear, Penny",  ,,
APS490Y1Y,TUT 0101,9/4/2014,1,Tue,19,21,HA410, ,"Behdinan, Kamran",  ,,
APS502H1F,LEC 0101,9/4/2014,1,Fri,9,12,BA1210, , ,  ,,
APS510H1F,LEC 0101,9/4/2014,1,Tue,16,19,BA1240, ,"Vehovec, Henry",  ,,
APS510H1F,TUT 0101,9/4/2014,1,Mon,9,10,HA401, , ,  ,,
BCH210H1F,LEC 0101,9/4/2014,1,Tue,10,11,CH---, , ,  ,,
BCH210H1F, ,9/4/2014,1,Thu,10,11,CH---, , ,  ,,
BCH210H1F, ,9/4/2014,1,Fri,10,11,CH---, , ,  ,,
BCH210H1F,TUT 0101,9/4/2014,1,Thu,11,13,BI131, , ,  ,,
BCH210H1F,TUT 0102,9/4/2014,1,Fri,11,13,CH---, , ,  ,,
BME221H1F,LEC 0101,9/4/2014,1,Fri,15,16,WB119, ,"Willett, Thomas",  ,,
BME221H1F, ,9/4/2014,1,Mon,15,16,WB119, ,"Willett, Thomas",  ,,
BME221H1F, ,9/4/2014,1,Wed,15,16,WB119, ,"Willett, Thomas",  ,,
BME221H1F,PRA 0101,9/4/2014,1,Mon,9,12,RS412, ,"Willett, Thomas",  ,,
BME221H1F,TUT 0101,9/4/2014,1,Fri,13,15,BA2165, , ,  ,,
BME344H1F,LEC 0101,9/4/2014,1,Tue,10,11,GB248, ,"Yoo, Paul",  ,,
BME344H1F, ,9/4/2014,1,Wed,10,11,GB248, ,"Yoo, Paul",  ,,
BME344H1F, ,9/4/2014,1,Fri,10,11,BA1220, ,"Yoo, Paul",  ,,
BME344H1F,TUT 0101,9/4/2014,1,Tue,11,12,WB219, , ,  ,,
BME350H1F,LEC 0101,9/4/2014,1,Mon,9,10,BA1230, ,"Kilkenny Rocheleau, Dawn",  ,,
BME350H1F, ,9/4/2014,1,Fri,11,12,BA1230, ,"Kilkenny Rocheleau, Dawn",  ,,
BME350H1F, ,9/4/2014,1,Wed,9,10,BA1230, ,"Kilkenny Rocheleau, Dawn",  ,,
BME350H1F,PRA 0101,9/4/2014,2,Thu,9,12,MB325, ,"Kilkenny Rocheleau, Dawn", occurs once every two weeks,,
BME350H1F,PRA 0102,9/8/2014,2,Thu,9,12,MB325, ,"Kilkenny Rocheleau, Dawn", occurs once every two weeks,,
BME350H1F,PRA 0103,9/4/2014,2,Thu,14,17,MB325, ,"Kilkenny Rocheleau, Dawn", occurs once every two weeks,,
BME350H1F,TUT 0101,9/4/2014,1,Mon,12,14,HA401, ,"Kilkenny Rocheleau, Dawn",  ,,
BME395H1F,LEC 0101,9/4/2014,1,Mon,10,12,RS211, ,"Sefton, Michael",  ,,
BME395H1F, ,9/4/2014,1,Thu,15,16,BA1240, ,"Sefton, Michael",  ,,
BME395H1F,TUT 0101,9/4/2014,1,Wed,12,14,GB304, , ,  ,,
BME428H1F,LEC 0101,9/4/2014,1,Mon,12,15,BA1240, ,"Truong, Kien (Kevin)",  ,,
BME428H1F,TUT 0101,9/4/2014,1,Tue,13,15,BA2175, , ,  ,,
BME455H1F,LEC 0101,9/4/2014,1,Tue,10,11,GB120, , ,  ,,
